time,filtered_emg,gesture
37.086,121,Hand is Moving
37.186,123,Hand is Moving
37.286,112,Hand is Moving
37.387,93,Hand is Moving
37.487,73,Hand is Moving
37.587,53,Hand is Moving
37.689,37,Hand is at Rest
37.789,25,Hand is at Rest
37.89,21,Hand is at Rest
37.99,22,Hand is at Rest
38.09,18,Hand is at Rest
38.191,16,Hand is at Rest
38.292,17,Hand is at Rest
38.392,20,Hand is at Rest
38.493,21,Hand is at Rest
38.593,26,Hand is at Rest
38.693,28,Hand is at Rest
38.794,34,Hand is at Rest
38.895,33,Hand is at Rest
38.995,36,Hand is at Rest
39.096,36,Hand is at Rest
39.196,39,Hand is at Rest
39.297,43,Hand is Moving
39.397,41,Hand is Moving
39.497,46,Hand is Moving
39.599,39,Hand is at Rest
39.699,40,Hand is at Rest
39.799,36,Hand is at Rest
39.9,44,Hand is Moving
40.0,50,Hand is Moving
40.1,57,Hand is Moving
40.202,60,Hand is Moving
40.302,60,Hand is Moving
40.402,64,Hand is Moving
40.503,59,Hand is Moving
40.603,59,Hand is Moving
40.704,59,Hand is Moving
40.805,60,Hand is Moving
40.905,53,Hand is Moving
41.006,43,Hand is Moving
41.106,37,Hand is at Rest
41.206,32,Hand is at Rest
41.307,32,Hand is at Rest
41.408,29,Hand is at Rest
41.508,31,Hand is at Rest
41.609,32,Hand is at Rest
41.709,31,Hand is at Rest
41.809,47,Hand is Moving
41.91,57,Hand is Moving
42.011,67,Hand is Moving
42.112,68,Hand is Moving
42.212,70,Hand is Moving
42.312,69,Hand is Moving
42.413,71,Hand is Moving
42.513,84,Hand is Moving
42.614,87,Hand is Moving
42.715,94,Hand is Moving
42.815,79,Hand is Moving
42.915,71,Hand is Moving
43.016,62,Hand is Moving
43.116,61,Hand is Moving
43.216,65,Hand is Moving
43.318,70,Hand is Moving
43.418,76,Hand is Moving
43.518,68,Hand is Moving
43.619,68,Hand is Moving
43.719,58,Hand is Moving
43.82,50,Hand is Moving
43.921,51,Hand is Moving
44.021,53,Hand is Moving
44.122,55,Hand is Moving
44.222,50,Hand is Moving
44.322,41,Hand is Moving
44.423,30,Hand is at Rest
44.524,24,Hand is at Rest
44.624,21,Hand is at Rest
44.725,22,Hand is at Rest
44.825,23,Hand is at Rest
44.925,18,Hand is at Rest
45.026,15,Hand is at Rest
45.127,12,Hand is at Rest
45.228,14,Hand is at Rest
45.328,22,Hand is at Rest
45.428,30,Hand is at Rest
45.529,33,Hand is at Rest
45.629,37,Hand is at Rest
45.73,37,Hand is at Rest
45.831,40,Hand is at Rest
45.931,45,Hand is Moving
46.031,53,Hand is Moving
46.132,65,Hand is Moving
46.232,74,Hand is Moving
46.333,74,Hand is Moving
46.434,70,Hand is Moving
46.534,80,Hand is Moving
46.635,96,Hand is Moving
46.735,116,Hand is Moving
46.835,135,Hand is Moving
46.936,150,Hand is Moving
47.037,157,Hand is Moving
47.137,151,Hand is Moving
47.238,139,Hand is Moving
47.338,134,Hand is Moving
47.438,133,Hand is Moving
47.539,120,Hand is Moving
47.64,102,Hand is Moving
47.74,80,Hand is Moving
47.841,59,Hand is Moving
47.941,41,Hand is Moving
48.041,26,Hand is at Rest
48.142,20,Hand is at Rest
48.243,19,Hand is at Rest
48.344,18,Hand is at Rest
48.444,15,Hand is at Rest
48.544,14,Hand is at Rest
48.645,15,Hand is at Rest
48.745,24,Hand is at Rest
48.846,32,Hand is at Rest
48.947,35,Hand is at Rest
49.047,40,Hand is at Rest
49.147,45,Hand is Moving
49.248,53,Hand is Moving
49.348,58,Hand is Moving
49.449,61,Hand is Moving
49.55,65,Hand is Moving
49.65,69,Hand is Moving
49.751,78,Hand is Moving
49.851,85,Hand is Moving
49.951,96,Hand is Moving
50.053,94,Hand is Moving
50.153,108,Hand is Moving
50.253,125,Hand is Moving
50.354,147,Hand is Moving
50.454,171,Hand is Moving
50.554,189,Hand is Moving
50.656,205,Hand is Moving
50.756,197,Hand is Moving
50.856,184,Hand is Moving
50.957,170,Hand is Moving
51.057,169,Hand is Moving
51.158,151,Hand is Moving
51.259,126,Hand is Moving
51.359,100,Hand is Moving
51.46,72,Hand is Moving
51.56,52,Hand is Moving
51.66,30,Hand is at Rest
51.761,21,Hand is at Rest
51.861,27,Hand is at Rest
51.962,30,Hand is at Rest
52.063,40,Hand is at Rest
52.163,51,Hand is Moving
52.263,70,Hand is Moving
52.364,85,Hand is Moving
52.464,91,Hand is Moving
52.566,101,Hand is Moving
52.666,114,Hand is Moving
52.766,125,Hand is Moving
52.867,127,Hand is Moving
52.967,125,Hand is Moving
53.067,122,Hand is Moving
53.169,116,Hand is Moving
53.269,103,Hand is Moving
53.369,97,Hand is Moving
53.47,102,Hand is Moving
53.57,104,Hand is Moving
53.67,105,Hand is Moving
53.772,103,Hand is Moving
53.872,102,Hand is Moving
53.972,106,Hand is Moving
54.073,102,Hand is Moving
54.173,97,Hand is Moving
54.274,93,Hand is Moving
54.375,84,Hand is Moving
54.475,74,Hand is Moving
54.576,63,Hand is Moving
54.676,50,Hand is Moving
54.776,42,Hand is Moving
54.877,34,Hand is at Rest
54.977,28,Hand is at Rest
55.078,24,Hand is at Rest
55.179,22,Hand is at Rest
55.279,22,Hand is at Rest
55.379,21,Hand is at Rest
55.48,21,Hand is at Rest
55.58,20,Hand is at Rest
55.682,22,Hand is at Rest
55.782,23,Hand is at Rest
55.882,26,Hand is at Rest
55.983,30,Hand is at Rest
56.083,32,Hand is at Rest
56.183,35,Hand is at Rest
56.285,37,Hand is at Rest
56.385,53,Hand is Moving
56.485,73,Hand is Moving
56.586,85,Hand is Moving
56.686,91,Hand is Moving
56.786,110,Hand is Moving
56.888,132,Hand is Moving
56.988,154,Hand is Moving
57.089,177,Hand is Moving
57.189,200,Hand is Moving
57.289,220,Hand is Moving
57.39,214,Hand is Moving
57.491,193,Hand is Moving
57.591,183,Hand is Moving
57.692,175,Hand is Moving
57.792,152,Hand is Moving
57.892,126,Hand is Moving
57.993,99,Hand is Moving
58.094,75,Hand is Moving
58.194,48,Hand is Moving
58.295,30,Hand is at Rest
58.395,22,Hand is at Rest
58.496,32,Hand is at Rest
58.596,43,Hand is Moving
58.697,53,Hand is Moving
58.798,55,Hand is Moving
58.898,60,Hand is Moving
58.998,61,Hand is Moving
59.099,66,Hand is Moving
59.199,72,Hand is Moving
59.3,74,Hand is Moving
59.401,74,Hand is Moving
59.501,70,Hand is Moving
59.601,65,Hand is Moving
59.702,54,Hand is Moving
59.802,69,Hand is Moving
59.904,78,Hand is Moving
60.004,88,Hand is Moving
60.104,100,Hand is Moving
60.205,116,Hand is Moving
60.305,132,Hand is Moving
60.405,153,Hand is Moving
60.506,170,Hand is Moving
60.607,181,Hand is Moving
60.707,185,Hand is Moving
60.808,171,Hand is Moving
60.908,158,Hand is Moving
61.008,147,Hand is Moving
61.109,126,Hand is Moving
61.21,103,Hand is Moving
61.31,80,Hand is Moving
61.411,57,Hand is Moving
61.511,35,Hand is at Rest
