time,user,filtered_emg,gesture
54.877,1,34,Hand is at Rest
54.977,1,28,Hand is at Rest
55.078,1,24,Hand is at Rest
55.179,1,22,Hand is at Rest
55.279,1,22,Hand is at Rest
55.379,1,21,Hand is at Rest
55.48,1,21,Hand is at Rest
55.58,1,20,Hand is at Rest
55.682,1,22,Hand is at Rest
55.782,1,23,Hand is at Rest
55.882,1,26,Hand is at Rest
55.983,1,30,Hand is at Rest
56.083,1,32,Hand is at Rest
56.183,1,35,Hand is at Rest
56.285,1,37,Hand is at Rest
56.385,1,53,Hand is Moving
56.485,1,73,Hand is Moving
56.586,1,85,Hand is Moving
56.686,1,91,Hand is Moving
56.786,1,110,Hand is Moving
56.888,1,132,Hand is Moving
56.988,1,154,Hand is Moving
57.089,1,177,Hand is Moving
57.189,1,200,Hand is Moving
57.289,1,220,Hand is Moving
57.39,1,214,Hand is Moving
57.491,1,193,Hand is Moving
57.591,1,183,Hand is Moving
57.692,1,175,Hand is Moving
57.792,1,152,Hand is Moving
57.892,1,126,Hand is Moving
57.993,1,99,Hand is Moving
58.094,1,75,Hand is Moving
58.194,1,48,Hand is Moving
58.295,1,30,Hand is at Rest
58.395,1,22,Hand is at Rest
58.496,1,32,Hand is at Rest
58.596,1,43,Hand is Moving
58.697,1,53,Hand is Moving
58.798,1,55,Hand is Moving
58.898,1,60,Hand is Moving
58.998,1,61,Hand is Moving
59.099,1,66,Hand is Moving
59.199,1,72,Hand is Moving
59.3,1,74,Hand is Moving
59.401,1,74,Hand is Moving
59.501,1,70,Hand is Moving
59.601,1,65,Hand is Moving
59.702,1,54,Hand is Moving
59.802,1,69,Hand is Moving
59.904,1,78,Hand is Moving
60.004,1,88,Hand is Moving
60.104,1,100,Hand is Moving
60.205,1,116,Hand is Moving
60.305,1,132,Hand is Moving
60.405,1,153,Hand is Moving
60.506,1,170,Hand is Moving
60.607,1,181,Hand is Moving
60.707,1,185,Hand is Moving
60.808,1,171,Hand is Moving
60.908,1,158,Hand is Moving
61.008,1,147,Hand is Moving
61.109,1,126,Hand is Moving
61.21,1,103,Hand is Moving
61.31,1,80,Hand is Moving
61.411,1,57,Hand is Moving
61.511,1,35,Hand is at Rest
0.0,2,-1,Hand is at Rest
0.1,2,-1,Hand is at Rest
0.2,2,-1,Hand is at Rest
0.301,2,-1,Hand is at Rest
0.401,2,0,Hand is at Rest
0.501,2,0,Hand is at Rest
